Part number,Description,No Datasheet Available
74135,quad exclusive-or/NOR gate,No Datasheet Available
74136,"quad 2-input XOR gate, open collector outputs",No Datasheet Available
74137,"3 to 8-line decoder/demultiplexer, address latch, inverting outputs",Datasheets_7400/74HC137.pdf
74138,"3 to 8-line decoder/demultiplexer, inverting outputs",Datasheets_7400/74HC_HCT138.pdf
74139,"dual 2 to 4-line decoder/demultiplexer, inverting outputs",Datasheets_7400/74HC_HCT139.pdf
74140,dual 4-input NAND line driver,No Datasheet Available
74141,BCD to decimal decoder/driver for cold-cathode indicator/Nixie tube,No Datasheet Available
74142,decade counter/latch/decoder/driver for Nixie tubes,No Datasheet Available
74143,"decade counter/latch/decoder/7-segment driver, 15 mA constant current",No Datasheet Available
74144,"decade counter/latch/decoder/7-segment driver, 15 V open collector outputs",No Datasheet Available
74145,BCD to decimal decoder/driver,No Datasheet Available
74147,10-line to 4-line priority encoder,No Datasheet Available
74148,8-line to 3-line priority encoder,No Datasheet Available
74149,8-line to 8-line priority encoder,No Datasheet Available
74150,16-line to 1-line data selector/multiplexer,No Datasheet Available
74151,8-line to 1-line data selector/multiplexer,No Datasheet Available
74152,8-line to 1-line data selector/multiplexer,No Datasheet Available
74153,"dual 4-line to 1-line data selector/multiplexer, non-inverting outputs",Datasheets_7400/74HC_HCT153.pdf
74154,"4-line to 16-line decoder/demultiplexer, inverting outputs",Datasheets_7400/74HC_HCT154.pdf
74155,"dual 2-line to 4-line decoder/demultiplexer, inverting outputs",No Datasheet Available
74156,"dual 2-line to 4-line decoder/demultiplexer, open collector inverting outputs",No Datasheet Available
74157,"quad 2-line to 1-line data selector/multiplexer, non-inverting outputs",No Datasheet Available
74158,"quad 2-line to 1-line data selector/multiplexer, inverting outputs",Datasheets_7400/74HC158.pdf
74159,"4-line to 16-line decoder/demultiplexer, open collector outputs",No Datasheet Available
74160,"synchronous presettable 4-bit decade counter, asynchronous clear",Datasheets_7400/74HC160.pdf
74161,"synchronous presettable 4-bit binary counter, asynchronous clear",Datasheets_7400/74HC161.pdf
74162,"synchronous presettable 4-bit decade counter, synchronous clear",No Datasheet Available
74163,"synchronous presettable 4-bit binary counter, synchronous clear",Datasheets_7400/74HC_HCT163.pdf
74164,"8-bit parallel-out serial shift register, asynchronous clear",Datasheets_7400/74HC_HCT164.pdf
74165,"8-bit serial shift register, parallel load, complementary outputs",Datasheets_7400/74HC_HCT165.pdf
74166,parallel-load 8-bit shift register,Datasheets_7400/74HC_HCT166.pdf
74167,synchronous decade rate multiplier,No Datasheet Available
